,act_fun,batch_size,dropout_frac,lr,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
538,<function selu at 0x7f362d382d40>,128,0.75,0.001,250,"[5000, 2500, 1000, 250]",<class 'torch.optim.rmsprop.RMSprop'>,50,0,0.0001,0.6,0.8518518518518519
350,<function selu at 0x7f362d382d40>,128,0.65,0.001,250,"[5000, 2500, 1000]",<class 'torch.optim.rmsprop.RMSprop'>,50,0,0.0001,0.5974025974025974,0.808641975308642
327,<function selu at 0x7f362d382d40>,128,0.65,0.001,100,"[5000, 2500, 1000]",<class 'torch.optim.rmsprop.RMSprop'>,50,0,0.0,0.59375,0.8395061728395061
519,<function selu at 0x7f362d382d40>,128,0.75,0.001,100,"[5000, 2500, 1000]",<class 'torch.optim.rmsprop.RMSprop'>,50,0,0.0,0.5833333333333334,0.8148148148148148
54,<function selu at 0x7f362d382d40>,256,0.65,0.001,200,"[5000, 2500, 1000]",<class 'torch.optim.rmsprop.RMSprop'>,50,0,0.0001,0.5714285714285714,0.8148148148148148
142,<function selu at 0x7f362d382d40>,256,0.7,0.001,150,"[5000, 2500, 1000]",<class 'torch.optim.rmsprop.RMSprop'>,50,0,0.0001,0.5714285714285714,0.7962962962962963
474,<function selu at 0x7f362d382d40>,128,0.7,1e-05,250,"[5000, 2500, 1000, 250]",<class 'torch.optim.rmsprop.RMSprop'>,50,0,0.0001,0.5666666666666667,0.8395061728395061
371,<function selu at 0x7f362d382d40>,128,0.65,1e-05,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.rmsprop.RMSprop'>,50,0,0.0,0.5666666666666667,0.8395061728395061
370,<function selu at 0x7f362d382d40>,128,0.65,1e-05,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.rmsprop.RMSprop'>,50,0,0.0001,0.5666666666666667,0.8395061728395061
475,<function selu at 0x7f362d382d40>,128,0.7,1e-05,250,"[5000, 2500, 1000, 250]",<class 'torch.optim.rmsprop.RMSprop'>,50,0,0.0,0.5666666666666667,0.8395061728395061
522,<function selu at 0x7f362d382d40>,128,0.75,0.001,150,"[5000, 2500, 1000, 250]",<class 'torch.optim.rmsprop.RMSprop'>,50,0,0.0001,0.5666666666666667,0.8395061728395061
63,<function selu at 0x7f362d382d40>,256,0.65,0.001,250,"[5000, 2500, 1000]",<class 'torch.optim.rmsprop.RMSprop'>,50,0,0.0,0.5614035087719298,0.845679012345679
