,act_fun,batch_size,dropout_frac,lr,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
374,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,300,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.5,0.8024691358024691
375,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,300,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.5,0.8024691358024691
158,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,300,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4927536231884058,0.7839506172839507
165,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,350,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4927536231884058,0.7839506172839507
164,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,350,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4927536231884058,0.7839506172839507
167,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,350,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4927536231884058,0.7839506172839507
159,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,300,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4927536231884058,0.7839506172839507
166,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,350,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4927536231884058,0.7839506172839507
145,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4918032786885246,0.808641975308642
144,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4918032786885246,0.808641975308642
56,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.01,250,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4864864864864865,0.7654320987654321
57,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.01,250,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4864864864864865,0.7654320987654321
161,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,300,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4857142857142857,0.7777777777777778
