,act_fun,batch_size,dropout_frac,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
49,<built-in function gelu>,128,0.4,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8837209302325582,0.8568935427574171
46,<built-in function gelu>,128,0.45,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8834042553191489,0.856544502617801
52,<built-in function gelu>,128,0.5,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8834042553191489,0.856544502617801
47,<built-in function gelu>,128,0.45,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8825865002836075,0.8554973821989529
53,<built-in function gelu>,128,0.5,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8822695035460993,0.8551483420593369
50,<built-in function gelu>,128,0.4,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8822695035460993,0.8551483420593369
43,<built-in function gelu>,256,0.5,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8820861678004536,0.8547993019197208
45,<built-in function gelu>,128,0.45,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8819523269012486,0.8547993019197208
48,<built-in function gelu>,128,0.4,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8819523269012486,0.8547993019197208
51,<built-in function gelu>,128,0.5,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8814520703346569,0.8541012216404886
37,<built-in function gelu>,256,0.45,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8812021548057839,0.8537521815008726
32,<built-in function gelu>,512,0.4,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8810198300283286,0.8534031413612565
41,<built-in function gelu>,256,0.4,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8809523809523809,0.8534031413612565
40,<built-in function gelu>,256,0.4,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8808848553601815,0.8534031413612565
28,<built-in function gelu>,512,0.45,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8802039082412915,0.8523560209424084
34,<built-in function gelu>,512,0.5,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8802039082412915,0.8523560209424084
31,<built-in function gelu>,512,0.4,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.880136015868518,0.8523560209424084
42,<built-in function gelu>,256,0.5,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8798185941043084,0.8520069808027924
36,<built-in function gelu>,256,0.45,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8798185941043084,0.8520069808027924
38,<built-in function gelu>,256,0.45,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8797504254112308,0.8520069808027924
44,<built-in function gelu>,256,0.5,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8796821793416572,0.8520069808027924
29,<built-in function gelu>,512,0.45,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8796374964599264,0.8516579406631762
39,<built-in function gelu>,256,0.4,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8794326241134752,0.8516579406631762
35,<built-in function gelu>,512,0.5,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.879139541466176,0.8509598603839441
30,<built-in function gelu>,512,0.4,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8786421499292787,0.8502617801047121
27,<built-in function gelu>,512,0.45,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8774412680441551,0.8488656195462478
100,<function silu at 0x7ffb5a5c7ce0>,128,0.45,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8769536800227338,0.8488656195462478
103,<function silu at 0x7ffb5a5c7ce0>,128,0.4,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8769536800227338,0.8488656195462478
33,<built-in function gelu>,512,0.5,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8768751769034815,0.8481675392670157
106,<function silu at 0x7ffb5a5c7ce0>,128,0.5,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8766344513928368,0.8485165794066317
101,<function silu at 0x7ffb5a5c7ce0>,128,0.45,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8749645591153955,0.8460732984293193
98,<function silu at 0x7ffb5a5c7ce0>,256,0.5,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8746454906409529,0.8457242582897033
95,<function silu at 0x7ffb5a5c7ce0>,256,0.4,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8745743473325767,0.8457242582897033
92,<function silu at 0x7ffb5a5c7ce0>,256,0.45,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8745743473325767,0.8457242582897033
97,<function silu at 0x7ffb5a5c7ce0>,256,0.5,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8741496598639455,0.8450261780104712
107,<function silu at 0x7ffb5a5c7ce0>,128,0.5,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8740782756664776,0.8450261780104712
104,<function silu at 0x7ffb5a5c7ce0>,128,0.4,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8740782756664776,0.8450261780104712
102,<function silu at 0x7ffb5a5c7ce0>,128,0.4,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8738304508080522,0.8446771378708552
91,<function silu at 0x7ffb5a5c7ce0>,256,0.45,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8738304508080522,0.8446771378708552
90,<function silu at 0x7ffb5a5c7ce0>,256,0.45,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.873758865248227,0.8446771378708552
105,<function silu at 0x7ffb5a5c7ce0>,128,0.5,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.873758865248227,0.8446771378708552
99,<function silu at 0x7ffb5a5c7ce0>,128,0.45,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.873758865248227,0.8446771378708552
94,<function silu at 0x7ffb5a5c7ce0>,256,0.4,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8736543909348442,0.8443280977312391
93,<function silu at 0x7ffb5a5c7ce0>,256,0.4,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8736154501562057,0.8446771378708552
85,<function silu at 0x7ffb5a5c7ce0>,512,0.4,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.873015873015873,0.8436300174520069
82,<function silu at 0x7ffb5a5c7ce0>,512,0.45,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8729438457175269,0.8436300174520069
96,<function silu at 0x7ffb5a5c7ce0>,256,0.5,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8727995457126633,0.8436300174520069
88,<function silu at 0x7ffb5a5c7ce0>,512,0.5,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8726241134751773,0.8432809773123909
86,<function silu at 0x7ffb5a5c7ce0>,512,0.4,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8722617354196301,0.8432809773123909
83,<function silu at 0x7ffb5a5c7ce0>,512,0.45,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.871692745376956,0.8425828970331588
89,<function silu at 0x7ffb5a5c7ce0>,512,0.5,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8715179079022172,0.8422338568935428
81,<function silu at 0x7ffb5a5c7ce0>,512,0.45,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8675928551176637,0.8369982547993019
84,<function silu at 0x7ffb5a5c7ce0>,512,0.4,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8675177304964539,0.8369982547993019
87,<function silu at 0x7ffb5a5c7ce0>,512,0.5,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8668748225943798,0.8363001745200698
68,<function elu at 0x7ffb5a5c7380>,256,0.4,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8558326167956435,0.8244328097731239
71,<function elu at 0x7ffb5a5c7380>,256,0.5,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8555873925501433,0.8240837696335078
65,<function elu at 0x7ffb5a5c7380>,256,0.45,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8555873925501433,0.8240837696335078
75,<function elu at 0x7ffb5a5c7380>,128,0.4,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8555811277330264,0.82478184991274
73,<function elu at 0x7ffb5a5c7380>,128,0.45,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.855255600229753,0.8240837696335078
66,<function elu at 0x7ffb5a5c7380>,256,0.4,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8550143266475645,0.8233856893542757
76,<function elu at 0x7ffb5a5c7380>,128,0.4,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8550100488084984,0.8237347294938918
79,<function elu at 0x7ffb5a5c7380>,128,0.5,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8549267451881644,0.8237347294938918
67,<function elu at 0x7ffb5a5c7380>,256,0.4,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8547598504457866,0.8237347294938918
72,<function elu at 0x7ffb5a5c7380>,128,0.45,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8547598504457866,0.8237347294938918
74,<function elu at 0x7ffb5a5c7380>,128,0.45,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8546812176909822,0.8233856893542757
70,<function elu at 0x7ffb5a5c7380>,256,0.5,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8546762589928057,0.8237347294938918
61,<function elu at 0x7ffb5a5c7380>,512,0.5,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.854519368723099,0.8230366492146597
55,<function elu at 0x7ffb5a5c7380>,512,0.45,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.854519368723099,0.8230366492146597
78,<function elu at 0x7ffb5a5c7380>,128,0.5,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8544303797468354,0.8233856893542757
64,<function elu at 0x7ffb5a5c7380>,256,0.45,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8544303797468354,0.8233856893542757
58,<function elu at 0x7ffb5a5c7380>,512,0.4,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8542742398164085,0.8226876090750437
80,<function elu at 0x7ffb5a5c7380>,128,0.5,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8541068351522114,0.8226876090750437
77,<function elu at 0x7ffb5a5c7380>,128,0.4,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8540229885057471,0.8226876090750437
63,<function elu at 0x7ffb5a5c7380>,256,0.45,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8535396961880195,0.8216404886561954
62,<function elu at 0x7ffb5a5c7380>,512,0.5,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8532188841201717,0.8209424083769633
56,<function elu at 0x7ffb5a5c7380>,512,0.45,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8532188841201717,0.8209424083769633
59,<function elu at 0x7ffb5a5c7380>,512,0.4,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8520743919885551,0.8195462478184992
69,<function elu at 0x7ffb5a5c7380>,256,0.5,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8519048983099399,0.8195462478184992
57,<function elu at 0x7ffb5a5c7380>,512,0.4,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8513319965625895,0.818848167539267
54,<function elu at 0x7ffb5a5c7380>,512,0.45,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8512467755803955,0.818848167539267
60,<function elu at 0x7ffb5a5c7380>,512,0.5,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8506864988558352,0.8178010471204189
1,<function selu at 0x7ffb5a5c7420>,512,0.45,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8506605399195865,0.8184991273996509
7,<function selu at 0x7ffb5a5c7420>,512,0.5,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8504163077806489,0.8181500872600349
11,<function selu at 0x7ffb5a5c7420>,256,0.45,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8501581823410986,0.8181500872600349
5,<function selu at 0x7ffb5a5c7420>,512,0.4,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8498420901521677,0.8174520069808028
