,act_fun,batch_size,dropout_frac,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
2,<function selu at 0x7f3016337060>,256,0.5,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9811083123425692,0.9632802937576499
146,<function elu at 0x7f3016336fc0>,64,0.5,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9810844892812106,0.9632802937576499
27,<function selu at 0x7f3016337060>,128,0.55,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9810606060606061,0.9632802937576499
147,<function elu at 0x7f3016336fc0>,64,0.5,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9809885931558935,0.9632802937576499
43,<function selu at 0x7f3016337060>,64,0.55,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.980466288594833,0.9620563035495716
11,<function selu at 0x7f3016337060>,256,0.55,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9804416403785489,0.9620563035495716
1,<function selu at 0x7f3016337060>,256,0.5,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9804416403785489,0.9620563035495716
12,<function selu at 0x7f3016337060>,256,0.45,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9804169298799748,0.9620563035495716
28,<function selu at 0x7f3016337060>,128,0.55,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9804169298799748,0.9620563035495716
18,<function selu at 0x7f3016337060>,128,0.5,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9804169298799748,0.9620563035495716
44,<function selu at 0x7f3016337060>,64,0.55,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9804169298799748,0.9620563035495716
141,<function elu at 0x7f3016336fc0>,128,0.45,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.980367321089297,0.9620563035495716
156,<function elu at 0x7f3016336fc0>,64,0.45,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9803424223208624,0.9620563035495716
29,<function selu at 0x7f3016337060>,128,0.55,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9803424223208624,0.9620563035495716
19,<function selu at 0x7f3016337060>,128,0.5,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9803424223208624,0.9620563035495716
45,<function selu at 0x7f3016337060>,64,0.55,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9803174603174604,0.9620563035495716
20,<function selu at 0x7f3016337060>,128,0.5,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9802924348378894,0.9620563035495716
142,<function elu at 0x7f3016336fc0>,128,0.45,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9802169751116784,0.9620563035495716
