,act_fun,batch_size,dropout_frac,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
3,<function selu at 0x7f043b168d60>,256,0.45,350,[2048],<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.32894736842105265,0.9373002212933366
7,<function selu at 0x7f043b168d60>,256,0.55,350,[2048],<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.32894736842105265,0.9373002212933366
0,<function selu at 0x7f043b168d60>,256,0.45,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.32717678100263853,0.9373002212933366
6,<function selu at 0x7f043b168d60>,256,0.55,350,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.32679738562091504,0.9366855175805262
11,<function selu at 0x7f043b168d60>,128,0.45,350,[2048],<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.32331902718168815,0.9418490287681338
15,<function selu at 0x7f043b168d60>,128,0.55,350,[2048],<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.32331902718168815,0.9418490287681338
2,<function selu at 0x7f043b168d60>,256,0.45,350,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.321285140562249,0.9376690435210229
14,<function selu at 0x7f043b168d60>,128,0.55,350,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.32085561497326204,0.9375461027784607
4,<function selu at 0x7f043b168d60>,256,0.55,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.32,0.9331202360462257
8,<function selu at 0x7f043b168d60>,128,0.45,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.3195739014647137,0.9371772805507745
12,<function selu at 0x7f043b168d60>,128,0.55,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.3168831168831169,0.9353331694123432
9,<function selu at 0x7f043b168d60>,128,0.45,250,[2048],<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.31648936170212766,0.9368084583230882
13,<function selu at 0x7f043b168d60>,128,0.55,250,[2048],<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.31648936170212766,0.9368084583230882
1,<function selu at 0x7f043b168d60>,256,0.45,250,[2048],<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.31197097944377267,0.9300467174821736
5,<function selu at 0x7f043b168d60>,256,0.55,250,[2048],<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.31197097944377267,0.9300467174821736
10,<function selu at 0x7f043b168d60>,128,0.45,350,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.3072847682119205,0.9357019916400295
