,act_fun,batch_size,dropout_frac,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
38,<function selu at 0x7f67334294e0>,256,0.6,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.30685920577617326,0.9527907548561594
8,<function selu at 0x7f67334294e0>,256,0.4,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.30604982206405695,0.9520531104007868
12,<function selu at 0x7f67334294e0>,256,0.4,400,"[7500, 3750, 1250]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.3053173241852487,0.9502089992623556
7,<function selu at 0x7f67334294e0>,256,0.4,300,"[7500, 3750, 1250]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.3050847457627119,0.9495942955495451
23,<function selu at 0x7f67334294e0>,256,0.5,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.3041144901610018,0.9521760511433489
41,<function selu at 0x7f67334294e0>,256,0.6,400,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.30347349177330896,0.9531595770838456
22,<function selu at 0x7f67334294e0>,256,0.5,300,"[7500, 3750, 1250]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.303236797274276,0.9497172362921072
37,<function selu at 0x7f67334294e0>,256,0.6,300,"[7500, 3750, 1250]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.3018867924528302,0.9499631177772314
17,<function selu at 0x7f67334294e0>,256,0.5,200,"[7500, 3750, 1250]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.3010752688172043,0.9520531104007868
27,<function selu at 0x7f67334294e0>,256,0.5,400,"[7500, 3750, 1250]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.29982964224872233,0.9494713548069831
11,<function selu at 0x7f67334294e0>,256,0.4,400,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.2994652406417112,0.9516842881731006
26,<function selu at 0x7f67334294e0>,256,0.5,400,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.2990990990990991,0.9521760511433489
2,<function selu at 0x7f67334294e0>,256,0.4,200,"[7500, 3750, 1250]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.2986111111111111,0.9503319400049176
42,<function selu at 0x7f67334294e0>,256,0.6,400,"[7500, 3750, 1250]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.29591836734693877,0.9491025325792968
30,<function selu at 0x7f67334294e0>,256,0.6,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.03663003663003663,0.9676665847061716
